Event,Time,Cell,Notes
Duplicate,187.91569875553827,0efcc410-e2f3-11ed-130e-fd688674a836,"Base.UUID[UUID(""0efc9cfe-e2f3-11ed-034c-b383f5fdd17c"")]"
Duplicate,187.91569875553827,0efcc410-e2f3-11ed-14fb-b3f78ea86525,"Base.UUID[UUID(""0efc9cfe-e2f3-11ed-034c-b383f5fdd17c"")]"
Duplicate,188.45330358996753,0efcc410-e2f3-11ed-34a5-3f579b7d8185,"Base.UUID[UUID(""0efc9cfe-e2f3-11ed-098e-91445645bfcd"")]"
Duplicate,188.45330358996753,0efcc410-e2f3-11ed-0121-85ef9ae12c8f,"Base.UUID[UUID(""0efc9cfe-e2f3-11ed-098e-91445645bfcd"")]"
Death,190.23613402562046,0ed4f0be-e2f3-11ed-13e1-1b1abafec367,UndefInitializer()
Duplicate,190.7828865633477,0efceb20-e2f3-11ed-3d02-6950c0cf3d99,"Base.UUID[UUID(""0efc9cfe-e2f3-11ed-3520-2543f6313f4b"")]"
Duplicate,190.7828865633477,0efceb20-e2f3-11ed-10be-397cade17485,"Base.UUID[UUID(""0efc9cfe-e2f3-11ed-3520-2543f6313f4b"")]"
Duplicate,192.3389116227799,0efceb20-e2f3-11ed-0378-1f8bc17cfc8b,"Base.UUID[UUID(""0efcc410-e2f3-11ed-130e-fd688674a836"")]"
Duplicate,192.3389116227799,0efceb20-e2f3-11ed-1ee8-2f9e711240e0,"Base.UUID[UUID(""0efcc410-e2f3-11ed-130e-fd688674a836"")]"
Death,198.5055496647368,0efcc410-e2f3-11ed-34a5-3f579b7d8185,UndefInitializer()
Duplicate,199.53575862181705,0efd1230-e2f3-11ed-14c0-dfbd4e4ca165,"Base.UUID[UUID(""0efcc410-e2f3-11ed-0121-85ef9ae12c8f"")]"
Duplicate,199.53575862181705,0efd1230-e2f3-11ed-1c7e-8db11711379b,"Base.UUID[UUID(""0efcc410-e2f3-11ed-0121-85ef9ae12c8f"")]"
Death,207.12740989952255,0efceb20-e2f3-11ed-10be-397cade17485,UndefInitializer()
Duplicate,208.16515309514043,0efd3940-e2f3-11ed-1f54-910f795b6e51,"Base.UUID[UUID(""0efceb20-e2f3-11ed-3d02-6950c0cf3d99"")]"
Duplicate,208.16515309514043,0efd3940-e2f3-11ed-3034-71cbd5a13d8e,"Base.UUID[UUID(""0efceb20-e2f3-11ed-3d02-6950c0cf3d99"")]"
Death,240.45920983920453,0efceb20-e2f3-11ed-0378-1f8bc17cfc8b,UndefInitializer()
Duplicate,241.25734087120006,0efdae70-e2f3-11ed-0a13-bfdfdd77ffff,"Base.UUID[UUID(""0efd1230-e2f3-11ed-1c7e-8db11711379b"")]"
Duplicate,241.25734087120006,0efdae70-e2f3-11ed-3803-9f3e9453ca20,"Base.UUID[UUID(""0efd1230-e2f3-11ed-1c7e-8db11711379b"")]"
Death,245.97322283785542,0ed47b92-e2f3-11ed-2201-4f1af1667e2e,UndefInitializer()
Death,249.80988690403942,0efceb20-e2f3-11ed-1ee8-2f9e711240e0,UndefInitializer()
Duplicate,252.29610719576286,0efdd580-e2f3-11ed-319c-955de346152d,"Base.UUID[UUID(""0efdae70-e2f3-11ed-3803-9f3e9453ca20"")]"
Duplicate,252.29610719576286,0efdd580-e2f3-11ed-2fc8-31308f6ffc50,"Base.UUID[UUID(""0efdae70-e2f3-11ed-3803-9f3e9453ca20"")]"
Duplicate,255.8198804054645,0efdfc90-e2f3-11ed-3e8c-73bb838f2f61,"Base.UUID[UUID(""0efdae70-e2f3-11ed-0a13-bfdfdd77ffff"")]"
Duplicate,255.8198804054645,0efdfc90-e2f3-11ed-08f4-73b6320c519b,"Base.UUID[UUID(""0efdae70-e2f3-11ed-0a13-bfdfdd77ffff"")]"
Death,260.11718460499384,0efdd580-e2f3-11ed-2fc8-31308f6ffc50,UndefInitializer()
Death,260.6354048134194,0efdfc90-e2f3-11ed-3e8c-73bb838f2f61,UndefInitializer()
Duplicate,260.95553877239456,0efdfc90-e2f3-11ed-0f76-b72b64978d9c,"Base.UUID[UUID(""0efdd580-e2f3-11ed-319c-955de346152d"")]"
Duplicate,260.95553877239456,0efdfc90-e2f3-11ed-3abc-459121f3d3fe,"Base.UUID[UUID(""0efdd580-e2f3-11ed-319c-955de346152d"")]"
